"Precinct","Shape_Leng","Shape_Area","R_CrimeCount","R_MedianDiff","R_MeanDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","NR_CrimeCount","NR_MedianDiff","NR_MeanDiff","NR_SDDiff","V1","pop.total","pop.male","pop.u20","pop.20.64","pop.married","pop.white","pop.black","pop.native","pop.asian","pop.pacific","pop.latino","occupants.1.5","rent.35.income","occ.units","pop.single.hh","hh.size","no.school","poverty","med.income","pop.no.insur","pop.unempl","lan.english","lan.spanish","lan.yiddish","lan.russian","lan.polish","lan.armenian","lan.hindi","lan.chinese","lan.vietnamese","lan.arabic","lan.hebrew","lan.african","city","x","y","crime.cap"
"1",79979.3433039,47182078.4315,23,2,584.826086956522,2270.45937787076,0.391304347826087,0.826086956521739,0.869565217391304,0.130434782608696,35955,0,13.5680433875678,137.726290025039,1,50127.0292047814,49.1238146024045,17.6344425405112,74.8901082645267,21.3715574304541,78.6563638964683,3.5425198907649,0.381555115683546,18.9633730065468,0.0494285745480829,7.67033533408594,3.79759914653787,28.6243368178062,2942.39855033687,28.7274480434912,2.125193365596,2.91762628664043,7.09744436019534,122285.317834922,1.29326879059743,2.90734300328244,69.6151900757415,4.45068348344442,0.186719147003474,0.186719147003474,0.0835704797425612,0.00799840163274625,1.0734656473104,4.31833700424321,0.0813543271386235,0.295937996275523,0.439610456523563,0.212215294747328,1,-74.01205358,40.70974422,0.717736529987064
"10",40043.1752513,27228634.2373,46,1.5,204.891304347826,676.787944082959,0.5,0.695652173913043,0.826086956521739,0.173913043478261,23906,0,13.1836359073036,149.091791111657,6,47094.9793806484,51.9002512623457,12.3880366043006,75.2244462259313,18.4769115673826,72.2679222780718,10.0752526682938,0.857973748405449,14.715155651297,0.00703334965396193,17.4044140959083,2.54835400409556,33.198871616699,3476.32374017071,24.9581189511348,1.78436764689862,6.97572870092847,14.5669228527903,94170.6442210161,2.36591416319918,4.21302802930559,65.0762757697334,12.0229400547777,0.00817648551901248,0.00817648551901248,0.345193035875169,0.0627123440953943,0.479707823701073,4.91592079976306,0.15335010219415,0.433792922575059,1.28956634161159,3.39211998267023,1,-73.99714595,40.71641499,0.508589244862097
"100",283995.945115,205185208.374,30,13,952.833333333333,1856.93421946021,0.366666666666667,0.466666666666667,0.533333333333333,0.466666666666667,16166,0,37.6076951626871,2878.27181686836,58,36149.5596801736,50.0743169020973,24.3117110330229,59.3755849647912,23.3645920766163,64.6659760290408,24.041383019971,0.948809367122439,5.61820939611175,0.0453542016549693,16.8648940831171,0.725981168326524,40.8931822099824,1685.66162576236,11.8186659141763,2.55338321698341,14.9821819071151,11.4596278391746,71083.9687840519,2.64177453710716,4.59261486916588,66.508632323341,10.8309741751894,0.103236443643079,0.103236443643079,3.04293207451828,0.00865562029157759,0.0660574678015404,1.56659326099681,0.000989071819115353,0.0154400144693927,0.222365493726165,0.857776141704682,1,-74.00238132,40.7336619,0.448027587148808
"101",78292.5943906,84672755.2813,85,10,690.282352941176,1898.12230282208,0.364705882352941,0.482352941176471,0.552941176470588,0.447058823529412,26266,0,10.0984162034569,129.697427114784,59,62424.0407756049,45.3598361404151,33.1654331391982,54.623506091416,17.1014655590399,38.6576096867451,49.5721524043876,0.815175367995906,3.41145700339219,0.187283831237589,28.2079789462524,3.05360601940804,48.6105606692961,2118.712561274,13.1704745575454,3.41489200681439,29.1828512029886,23.4120073923861,43214.0781695663,2.09540937808664,5.95134178224681,55.8816257450844,20.9143597086295,0.685588186091441,0.573642188178233,0.140334928494203,0.00761802934170609,0.0299432912036691,0.781018475089279,0.0203371619943526,0.539153007591666,1.31944131685359,2.36527441414942,1,-73.98394596,40.71543855,0.422129033503673
"102",52865.2810669,133314470.842,84,15,533.738095238095,1192.85471215668,0.369047619047619,0.428571428571429,0.55952380952381,0.44047619047619,35846,0,13.0130279529097,174.804059201415,60,156696.867390383,49.4309518213467,25.3762937294919,64.22193054774,23.3944741442112,41.2291785712515,8.56620269538573,1.23841201582549,28.4436469966784,0.348388971440066,41.5520608856175,2.58410526547517,48.6305096254378,959.73168634378,15.8063945287573,3.60981963656424,23.6838814829935,15.1544603680876,62202.4985525455,3.35147745810289,5.18974533233441,37.0619737459404,31.6308063638781,0.0620054373274795,0.0422220178530902,1.23183843194744,0.0277451587179386,1.33351111893305,2.97385801582589,0.161980634908308,0.609926545517746,0.308838859109993,0.174068718528003,1,-73.98338743,40.72626544,0.229296223966537
"103",48549.9379817,100921594.951,128,4,277.2734375,833.305557997584,0.375,0.53125,0.578125,0.421875,47467,0,11.6043567109782,206.925667085743,61,109286.31533292,48.2520091701718,26.5623464048815,62.4302667695586,20.5915951742366,11.2263428930472,42.175502469201,1.34521035252313,24.0312868795222,0.478989875345407,25.9931146432086,5.58052170592566,52.2803974240521,1356.06196995361,16.0965756605328,3.48937859796613,24.937624662383,18.851881750454,50093.7213427333,4.69219371211686,9.34811277899736,51.3645935635205,21.1024664309205,0.0256641102145931,0.0256641102145931,0.0202142702956784,0.00827348066623415,0.307615740223506,0.573777583057643,0.16857660825987,0.215493966014804,0.169286944026465,1.03206498911669,1,-74.00168798,40.75053874,0.43550740872735
"104",75785.9455075,210504683.703,75,31,606.866666666667,1880.55420478037,0.32,0.453333333333333,0.493333333333333,0.506666666666667,40625,0,21.5208861538462,366.813846930193,62,174309.587536737,48.7178719227164,23.2388898479487,64.2585549278973,24.008162501124,81.9550139466185,2.73753204212149,0.529568464253386,9.39567559128091,0.145472495829267,35.7514749902179,1.49375818603531,42.1091095885149,1167.7690742221,16.1363655563001,2.88000629201551,16.6903849969792,12.5288959264109,64109.1228563754,3.41829478714401,4.21995359513197,43.4294833805072,23.2915638325979,0.0336750636144672,0.0336750219733837,8.42970766806474,0.150864763801691,0.12508658395179,3.64346175213948,0.150423428723708,1.09368204856728,0.00980467346577022,0.0189533710868494,1,-73.98443922,40.73804006,0.233492606890726
"105",133234.881924,347328139.609,104,8.5,416.240384615385,1174.71645407709,0.307692307692308,0.5,0.586538461538462,0.413461538461538,43033,0,19.4810494271838,303.976020601098,63,198102.218887564,46.2757472459567,22.0972669295719,62.4843057247564,24.275507230232,18.3522109078249,58.9544052759176,0.84285467932528,17.4954448337043,0.331479094915117,11.7946778468838,0.759046960196252,43.2011343110858,1276.98260254054,13.9511908645808,3.21632091288731,12.5628741672803,8.79912762480239,77971.0648502196,4.51271456629383,5.36671778172635,62.3526200303221,8.88867846974523,0.0619612572198974,0.0574516482415788,0.068150342309579,0.052969503415061,1.57308227988783,0.933470625410886,0.043715504817751,0.295717793270396,0.0871737508906697,1.09494590411236,1,-73.98713822,40.75203431,0.217751220769935
"106",106986.706883,172508228.167,61,8,460.950819672131,1055.72203453734,0.377049180327869,0.491803278688525,0.573770491803279,0.426229508196721,35897,0,22.6906426720896,1936.19785868375,64,132093.458438764,49.1510810867751,23.9690017670061,64.1120762236167,24.6546307191378,34.2228086540119,19.2424521129938,1.76560634616414,24.8786198476994,0.91614991933062,26.2158923080195,2.09688355291275,50.6519339413579,1360.91486403747,13.5481921418676,3.5572004444174,23.6987854370818,13.9090814305355,66415.8237926269,3.17496946366053,6.68028610253819,60.8320263228584,19.1317540768441,1.59711236716788e-05,1.36706614356994e-06,0.491802203052766,0,0.492263713542696,1.23240603091059,0.0259121237570141,0.493866712060463,0.0329452998326509,0.0568737291564582,1,-73.97112551,40.75127736,0.272216356699219
"107",69289.8837732,207501246.614,58,2,605.258620689655,1619.22588782466,0.448275862068966,0.551724137931034,0.620689655172414,0.379310344827586,28271,0,18.4677938523575,355.296548390804,65,160601.979278519,47.4309809334929,24.0833128394955,61.8789208394483,27.0935672048405,42.4730093506749,13.4382793315816,0.781786444561185,36.8510127874794,0.130927879798604,18.5949812168829,2.67976250321314,48.7000783586153,1915.42460527767,14.7953365090523,2.99760756245808,14.3639603600908,14.4751958087125,65246.3834346261,2.85716910936525,5.79983014073987,36.0166077285811,13.7244977422187,0.293638802437905,0.212866466882917,0.444594515375567,0.0567644628764248,1.06412799858895,10.598606910584,0.112690340970068,0.889049631366926,2.36791776593535,0.425923021128784,1,-73.98500434,40.76329703,0.176392595703141
