"ADDR_PCT_CD","CMPLNT_NUM","BORO_NM","CMPLNT_FR_DT","CMPLNT_FR_TM","CMPLNT_TO_DT","CMPLNT_TO_TM","CRM_ATPT_CPTD_CD","HADEVELOPT","JURIS_DESC","KY_CD","LAW_CAT_CD","LOC_OF_OCCUR_DESC","OFNS_DESC","PARKS_NM","PD_CD","PD_DESC","PREM_TYP_DESC","RPT_DT","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lat_Lon","RPT_DELAY","COUNT","RPT_DELAY_1DAY","RPT_DELAY_1WEEK","RPT_DELAY_1MONTH","RPT_DELAY_MONTHS","RPT_DAY","CMPLNT_DAY","RPT_MONTH","CMPLNT_MONTH","x","y","R_MeanDiff","NR_CrimeCount","R_CrimeCount","R_MedianDiff","R_SDDiff","R_1DAY","R_1WEEK","R_1MONTH","R_MONTHS","lat","lon","lon.1","lat.1","optional"
"1",109854407,"MANHATTAN",2014-03-08,"19:00:00","03/08/2014","19:30:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2014-03-09,NA,NA,NA,NA,"",1,1,1,0,0,0,"Sunday","Saturday","March","March",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",747454198,"MANHATTAN",2013-11-03,"01:00:00","11/03/2013","08:30:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2013-11-05,NA,NA,NA,NA,"",2,1,0,1,0,0,"Tuesday","Sunday","November","November",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",802009926,"MANHATTAN",2013-09-20,"21:15:00","09/20/2013","21:25:00","ATTEMPTED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",159,"RAPE 1,ATTEMPT","RESIDENCE - APT. HOUSE",2013-09-20,NA,NA,NA,NA,"",0,1,1,0,0,0,"Friday","Friday","September","September",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",369950441,"MANHATTAN",2013-07-15,"04:00:00","07/15/2013","10:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","HOTEL/MOTEL",2013-07-15,NA,NA,NA,NA,"",0,1,1,0,0,0,"Monday","Monday","July","July",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",265743842,"MANHATTAN",2013-04-07,"23:00:00","04/08/2013","13:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","HOTEL/MOTEL",2013-04-10,NA,NA,NA,NA,"",3,1,0,1,0,0,"Wednesday","Sunday","April","April",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",304325307,"MANHATTAN",2012-01-03,"09:00:00","08/30/2012","13:00:00","ATTEMPTED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",159,"RAPE 1,ATTEMPT","RESIDENCE - APT. HOUSE",2013-03-25,NA,NA,NA,NA,"",447,1,0,0,0,1,"Monday","Tuesday","March","January",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",826781497,"MANHATTAN",2013-03-03,"03:30:00","03/03/2013","10:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2013-03-04,NA,NA,NA,NA,"",1,1,1,0,0,0,"Monday","Sunday","March","March",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",970545540,"MANHATTAN",2013-01-23,"12:00:00","01/23/2013","16:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2013-01-24,NA,NA,NA,NA,"",1,1,1,0,0,0,"Thursday","Wednesday","January","January",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",161240766,"MANHATTAN",2012-12-02,"02:00:00","12/02/2012","04:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","HOTEL/MOTEL",2012-12-02,NA,NA,NA,NA,"",0,1,1,0,0,0,"Sunday","Sunday","December","December",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
"1",379225397,"MANHATTAN",2012-11-24,"23:00:00","11/25/2012","11:00:00","COMPLETED","","N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE","",157,"RAPE 1","RESIDENCE - APT. HOUSE",2012-11-28,NA,NA,NA,NA,"",4,1,0,1,0,0,"Wednesday","Saturday","November","November",-74.01205358,40.70974422,443.673913043478,35953,46,2,1817.39022965898,0.456521739130435,0.282608695652174,0.108695652173913,0.152173913043478,-74.01205358,40.70974422,40.70974422,-74.01205358,TRUE
