MeanDelay,x,y
8.358974359,-74.01205358,40.70974422
6,-73.99714595,40.71641499
8.205882353,-74.00238132,40.7336619
5.880952381,-73.98394596,40.71543855
10.19047619,-73.98338743,40.72626544
8,-74.00168798,40.75053874
7.979166667,-73.98443922,40.73804006
9.347826087,-73.98713822,40.75203431
9.222222222,-73.97112551,40.75127736
11.01724138,-73.98500434,40.76329703
10.8,-73.95652002,40.77278741
6.518518519,-73.98169683,40.77939053
0,-73.96555533,40.78247566
10.6375,-73.94453596,40.7911915
9.630434783,-73.97007366,40.79561213
13.61290323,-73.93040596,40.79664779
12.05128205,-73.95890074,40.81198433
11.05660377,-73.95103617,40.80462409
10.025,-73.94955811,40.82607932
8.964912281,-73.94067199,40.81926624
14.14666667,-73.94045526,40.84108032
13.49253731,-73.92708302,40.86207717
10.71223022,-73.91646993,40.81090889
11.51764706,-73.88777595,40.81344744
10.3649635,-73.8986401,40.83255501
9.975757576,-73.86152235,40.8247404
10.06569343,-73.92079809,40.83380528
9.12195122,-73.81679081,40.84885248
10.98666667,-73.90957378,40.85274739
9.188235294,-73.85232388,40.88693601
11.59836066,-73.8876233,40.849877
10.19480519,-73.85372729,40.85609293
11.16666667,-73.90046484,40.89245022
11.69354839,-73.88634903,40.86636771
9.392405063,-73.98212428,40.5806481
9.535714286,-73.94913336,40.59425158
13.48,-73.99363596,40.60722178
6.2,-73.91000935,40.60766602
13.5,-73.98326777,40.63122775
11.06451613,-73.93381412,40.64805306
12.16666667,-74.0234584,40.62325767
9.865671642,-73.89204449,40.63460454
12.38461538,-73.95911931,40.63184938
9.341463415,-73.94692561,40.66280012
11.33333333,-74.00113444,40.65197148
10.41139241,-73.91094406,40.66816181
11.29323308,-73.87739083,40.66442617
7.782608696,-74.00321647,40.67924398
11.18085106,-73.94490511,40.6740235
13.29166667,-73.9769143,40.66935158
9.891891892,-73.94918461,40.68924222
7.897727273,-73.92931716,40.68565666
13.22834646,-73.91684069,40.69455472
14.59090909,-73.98890042,40.69482046
11.85294118,-73.97037202,40.69273295
11.35616438,-73.94662884,40.70868568
5.763157895,-73.94772923,40.72507355
15.10344828,-73.85334313,40.58480551
15.38554217,-73.76332247,40.60044418
14.17647059,-73.84161079,40.69638104
13.86607143,-73.78603783,40.70367532
14.1971831,-73.89053162,40.71079814
14.79569892,-73.73684515,40.70008722
14.6969697,-73.83273771,40.66926289
12.10447761,-73.79737263,40.72615068
7.5,-73.92301859,40.74048856
13.97435897,-73.81560351,40.77165333
15.36290323,-73.85980459,40.74367932
12,-73.75922493,40.75669189
14.57692308,-73.8497444,40.72245312
11.58333333,-73.78140204,40.66104389
9.513761468,-73.91438155,40.77002321
13.13793103,-73.87621675,40.76260669
11.62831858,-74.09642245,40.62527017
9.963636364,-74.16620714,40.60683461
9,-74.11591596,40.57553713
6.266666667,-74.20585733,40.53682113
