basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
11A95,17628.92194,51.14105778,18.38721757,69.83749884,0.211727125,58.5895989,2.542987973,2.724304035,19.16546562,0.212021193,50.47761658,3.764038301,42.74328547,1379.933746,0.208974949,2.767918797,22.40903422,16.68301623,59776.39809,6.568120927,4.119200783,1,-118.3721057,34.17189075,73.15384615,4552,13,2,166.4295878,0.214285714,0.321428571,0.321428571,0.142857143,0.25894947
12A15,20504.9138,48.24593611,34.06175794,58.51812374,0.135330339,28.31834987,23.26955516,0.57337094,1.150103054,0.087761642,74.94885326,10.0986671,65.74325698,1459.369789,0.144731539,3.990887481,45.71895227,36.04919144,28355.48331,5.905214147,6.737521892,1,-118.4538489,34.17514953,106.925,8613,40,3,253.9452179,0.181818182,0.298701299,0.363636364,0.155844156,0.42199641
12A3,19320.38402,51.47653699,26.52491054,64.01692795,0.16371758,24.55759766,34.64723586,0.782494012,0.972344966,0.619788321,63.41597076,7.746282889,66.42974316,1428.35543,0.164614228,3.719540857,41.55249507,29.79098686,35046.14504,11.50909925,6.503955442,1,-118.4534451,34.20690027,250.2325581,8062,43,2,579.1094081,0.2,0.294117647,0.352941176,0.152941176,0.419505119
12A31,13563.62439,46.38043203,21.36156213,63.21957911,0.1851128,18.97774385,60.9771797,0.676137955,2.331452805,0.002385628,33.39610081,1.54182842,65.41071014,1657.376287,0.136401865,2.672093461,20.0732106,20.60711526,47330.52065,9.359810947,9.683458224,1,-118.2110805,34.13437544,66.57894737,6145,19,2,134.8885613,0.179487179,0.333333333,0.384615385,0.102564103,0.454450803
12A45,20503.31092,52.16709386,31.56788337,67.9980127,0.181871181,29.66401998,43.65369317,0.995613192,1.362042041,0.048938582,64.3836407,3.851451311,76.85799714,1423.936185,0.154949647,3.658037678,38.44513639,27.12964712,38058.74159,7.472362361,7.650568584,1,-118.2295359,34.10541507,75.22222222,10255,36,1.5,237.7736152,0.225,0.325,0.3625,0.0875,0.501918936
12A49,12981.76367,58.90478017,40.1403529,72.5246321,0.184677919,34.9654663,29.39109526,1.929815518,0.618088779,0.000440413,93.41915549,10.76334713,80.69403412,1236.238985,0.183033405,4.308266052,57.9695201,44.85504569,34173.23973,8.084863116,7.353103268,1,-118.3457618,34.09964892,162.96875,8584,32,1.5,467.2309289,0.235294118,0.294117647,0.352941176,0.117647059,0.663700266
12A51,16599.88683,45.69053813,24.86784726,62.34953207,0.17026351,22.89036968,54.68210003,1.396390768,1.343059686,0.745405267,42.78975891,1.79680582,69.68392257,1360.407567,0.160272791,2.691176168,27.15287725,26.20480672,31379.10515,7.739533579,8.072883364,1,-118.3236431,34.09569107,156.6756757,8229,37,3,363.409247,0.202702703,0.297297297,0.337837838,0.162162162,0.497955202
12A53,12096.12703,45.59290506,25.53825342,63.38984951,0.166546553,15.62160369,75.98872982,0.985714273,1.819753203,1.499791848,27.16934232,2.868556494,66.3486969,1509.177933,0.125961162,2.911990013,21.56417436,22.48080074,41242.13286,13.74155198,8.446429426,1,-118.4292322,34.04407444,87.12820513,8892,39,1,248.7638046,0.238636364,0.318181818,0.340909091,0.102272727,0.7383355
12A57,13657.50937,47.95070045,36.23347618,59.54283174,0.128362153,26.81024857,22.34484084,1.877966754,0.71470594,0.000419522,76.82159558,7.95730477,65.65816395,882.2076094,0.178164781,4.088558035,49.31440506,43.80698826,28626.72133,9.843139222,9.495177492,1,-118.2087828,34.06863335,62.03703704,7550,27,5,123.24662,0.20754717,0.283018868,0.339622642,0.169811321,0.554786367
12A67,17518.28746,46.62156944,37.87509373,55.97812804,0.130587334,23.41051553,26.44544725,0.113461111,0.262849128,0.111489566,72.91748356,10.95714692,65.17601221,1153.576917,0.130541331,3.948760395,48.63120814,44.83973987,26825.98698,9.780046631,6.549711233,1,-118.2115772,34.04864892,111.6,9034,45,2,310.3848344,0.226804124,0.309278351,0.329896907,0.134020619,0.518258421
12A69,16188.83184,49.00826974,36.51943353,56.86257267,0.160715006,29.93142087,20.74806659,0.484953898,0.483107541,0.000139788,79.20014142,12.89868745,66.70468418,1004.778781,0.152278178,4.174478964,49.46904416,37.11213131,32083.10717,5.611518436,9.283541989,1,-118.1937413,34.05444218,10.82352941,6631,17,2,16.47814952,0.222222222,0.305555556,0.416666667,0.055555556,0.410653472
12A73,10730.13256,39.69386272,22.90212191,59.7185274,0.186471658,13.83101013,79.59214226,1.143421648,1.103699479,0.249063274,19.70550544,2.06115636,55.19091595,1878.561144,0.108889731,2.842211112,16.4507859,18.3091795,50057.59913,1.552223446,8.786711687,1,-118.2176044,34.03899343,133.4545455,5320,11,4,400.9975969,0.227272727,0.272727273,0.363636364,0.136363636,0.496825176
13A13,12817.28866,52.27613377,29.79191995,64.86206903,0.07856976,44.95547021,4.950368401,0.653941632,2.70621202,0.042383408,89.53071418,24.65678166,51.43977678,1013.244806,0.08680637,4.109808741,61.32471417,37.80818485,30904.68887,7.489235322,5.50063607,1,-118.1728102,34.0813073,190.125,7923,24,3.5,416.9607752,0.224489796,0.285714286,0.346938776,0.142857143,0.620021926
13A27,21611.97285,50.3865284,35.75106369,58.33014358,0.15451529,39.86211403,9.657098094,2.577165969,0.849727185,0.116143122,89.29664814,13.40342851,61.18431621,947.360395,0.154028356,4.7587837,63.65854822,34.98475026,34809.73684,8.483821165,5.110173229,1,-118.207616,34.02223863,197.9411765,6316,17,3,476.3436877,0.151515152,0.333333333,0.363636364,0.151515152,0.293032017
13A41,18442.09752,50.91021545,33.56924802,60.54828497,0.12936393,37.5289436,10.18154035,1.741469979,1.32085923,0.137838985,86.14264171,25.8627372,67.70274608,868.56688,0.160953462,4.413400063,56.976481,48.15901301,29598.67156,4.36014226,6.19926467,1,-118.2700638,34.06202361,217.6315789,6756,19,2,612.8302475,0.219512195,0.317073171,0.341463415,0.12195122,0.367366022
13A43,19363.18158,48.79571718,36.48307003,59.47210732,0.120697329,39.14527402,4.532869067,1.595222722,0.345673398,0.617352345,94.0835165,21.20746895,60.84761188,1108.888042,0.17254603,4.700682113,65.33905143,38.88017002,31953.92558,10.0014208,6.146482349,1,-118.3720304,34.06943068,112.8181818,5996,11,0,369.5396645,0.275862069,0.344827586,0.344827586,0.034482759,0.310227944
13A61,20262.21511,49.4008153,35.64465467,59.51141079,0.128593124,29.87701461,14.67009248,1.876835283,0.386561235,0.001842912,84.57224488,16.32998674,66.7551661,1250.163042,0.153668498,4.194736884,59.07909362,43.96680671,28257.87065,6.542487368,5.472109801,1,-118.3531667,34.06389102,286.8275862,6786,29,3,646.71881,0.224137931,0.275862069,0.293103448,0.206896552,0.336340324
13A75,21053.88851,49.03207514,37.25816376,56.61445248,0.138944891,35.62228924,10.54731394,0.513822825,0.550373863,0.000183624,89.20948377,15.36082687,65.16170607,995.0630473,0.161125844,4.651618929,60.40745435,40.53379553,31135.32219,8.032947843,5.202995293,1,-118.3399969,34.04108516,215,6564,16,42,395.3159074,0.148148148,0.259259259,0.296296296,0.296296296,0.312531341
13A85,16364.95334,66.50275662,55.51476182,72.92825515,0.167753223,37.67398145,17.97291951,1.300539203,0.35025287,0.07989945,117.0942641,23.25225546,103.689206,1304.656437,0.189379824,6.152425448,78.60202988,57.34493977,40526.77134,8.99625989,8.209836103,1,-118.304604,34.0598387,111.7692308,6013,13,3,371.7212562,0.185185185,0.333333333,0.407407407,0.074074074,0.36822592
13A9,4125.853223,57.62993052,17.40440185,76.48901247,0.153357465,45.52324563,8.17718598,0.632113815,22.91049458,0.401585679,42.19473575,22.93257751,49.48633052,1288.989264,0.308394017,2.796319009,29.46388902,26.25663822,59425.10819,3.263279184,4.428731411,1,-118.2958981,34.06005919,31.54545455,5581,11,7,50.82000322,0.227272727,0.272727273,0.363636364,0.136363636,1.355356019
13A93,16922.62916,49.96902661,36.63641052,58.00357618,0.151990567,27.11115249,15.91523025,2.158644308,0.828760915,0.370239205,83.64251895,15.15500005,68.07002383,886.7615947,0.161385147,4.655548019,55.95044378,35.25562513,34509.76722,11.68778572,6.900497028,1,-118.2471541,34.04581562,99.95,6980,20,1,315.6356119,0.291666667,0.291666667,0.333333333,0.083333333,0.413647308
14A11,12697.8419,52.86891664,8.173795417,74.91536725,0.272669321,89.47727851,4.02570069,0.820633011,5.339011856,0.561278891,9.96263366,2.052261598,35.93350998,2115.277941,0.228268348,1.773147518,3.433449492,10.15563447,82923.30871,3.83684374,7.778634893,1,-118.2481984,34.01207915,84.29166667,8712,24,7,184.4728044,0.181818182,0.272727273,0.363636364,0.181818182,0.687990926
14A13,9112.553828,49.39242384,15.7986881,73.7666968,0.189717416,82.34373545,11.45560644,3.561927688,4.300678081,0.508587158,27.50958607,1.730313974,37.14101429,1476.725739,0.248687952,2.073757636,11.76954568,14.18986888,84172.20474,0.906880813,7.101174437,1,-118.2621309,34.01112156,261.2222222,3861,9,35,439.1360204,0.142857143,0.214285714,0.285714286,0.357142857,0.424688849
14A25,33368.6192,49.95799787,19.46801894,65.92063466,0.272805086,75.07829543,4.948644942,2.1646555,17.44547773,0.291926376,19.2009519,1.771383928,39.45089187,1595.608032,0.182465723,2.463857142,7.171120099,10.55391464,85058.1474,3.12315676,4.13687005,1,-118.2697784,33.99985769,94.2,6838,25,4,134.2873164,0.191489362,0.276595745,0.29787234,0.234042553,0.20567228
14A27,40956.20719,51.48296314,14.55189183,76.52500073,0.198599342,60.17788656,9.076682093,1.031681835,27.75816192,0.566701678,22.7682088,3.821810512,39.44206278,2097.947039,0.320392268,2.024772804,6.0933248,15.4377857,61808.08546,4.297555021,4.673700492,1,-118.2474927,33.99660639,54.73529412,8444,34,2.5,145.6653094,0.134328358,0.358208955,0.388059701,0.119402985,0.20700159
14A45,37950.05311,48.08225596,16.24835077,71.70869154,0.223065238,67.97652641,8.387986548,1.915882791,20.18713133,0.305698253,18.88195119,0.841507675,38.45584241,2420.676407,0.221540772,2.194196144,6.330572856,10.2235568,92913.99219,1.728700716,4.454481915,1,-118.359131,34.01294955,129.1315789,9784,38,5.5,390.3692065,0.202702703,0.283783784,0.310810811,0.202702703,0.258813867
14A49,25221.67626,49.79540327,21.22208397,65.96150702,0.206822691,64.23900144,4.914331967,5.084287938,14.92335154,0.194905103,51.56073858,5.691541554,45.08215855,1522.839036,0.198981819,2.630130106,23.94991447,16.39178335,52425.5055,6.225651918,6.109392826,1,-118.3118331,34.0191244,237.2631579,5208,19,5,437.9314815,0.166666667,0.305555556,0.305555556,0.222222222,0.207242371
14A67,19383.82359,93.52190259,37.32323357,132.9250284,0.430450349,101.7563055,51.74527468,4.694306756,32.47215803,2.092546703,41.37232775,2.799383577,76.60542203,3729.737789,0.399253066,4.466287786,9.222388672,18.52394734,161390.1495,9.460719847,8.377682499,1,-118.290447,34.01914222,47.45652174,11779,46,2,132.7962025,0.193548387,0.311827957,0.397849462,0.096774194,0.610044759
14A73,30878.29142,48.01577315,19.95357529,66.1227524,0.236300359,77.00360967,6.531039683,1.582998481,15.4246978,0.538720636,14.0978535,0.966862609,40.34535269,1825.105729,0.171674737,2.316136865,2.501348296,11.12782493,96181.40722,0.916719729,5.35524955,1,-118.3427965,34.01408762,125.4,7157,35,2,260.2591695,0.228571429,0.271428571,0.342857143,0.157142857,0.232914441
15A21,23224.57516,48.37191306,23.09947018,63.24997474,0.232194749,68.16627813,4.058306646,1.676840142,8.995649972,0.404336706,48.20820014,5.920332387,62.37383845,1322.453041,0.165910363,3.423624621,24.50917791,20.48727225,47888.77229,9.789263353,7.274245201,1,-118.2989569,34.00732103,201.4347826,7569,23,2,461.1068527,0.234042553,0.276595745,0.319148936,0.170212766,0.326895108
