basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff
16A23,100596.744,50.24486387,28.76280561,62.0857107,0.207969976,62.02051331,3.689686964,1.010426088,5.947909427,0.103685542,85.86916685,5.66229913,56.46563538,22445.51551,0.165172446,4.421394995,44.98716253,19.87433571,53923.84069,6.287504123,7.664856526,1,-118.2343169,33.93638909,20.44897959
16A35,61003.97944,49.59158095,24.10898582,62.67600194,0.225700456,78.88296355,3.54292771,1.799760566,8.142866502,0.220890296,52.75989312,2.216518068,54.35318695,16720.35073,0.136111006,3.271331328,21.77061432,15.42270812,66053.98373,4.922106771,4.970634189,1,-118.2681115,33.92707386,16.3125
16A59,27069.36588,48.08381144,23.56745102,62.30731355,0.273460579,74.60918395,2.261676803,1.314853839,18.19425752,0.593616153,21.73158308,1.616494051,49.41429164,9160.803595,0.131179674,2.891290569,11.38272273,10.83041453,75223.60855,4.986307107,5.028987974,1,-118.2542736,33.79458908,16.15
16A77,39994.23968,48.26575179,25.62886548,61.90977666,0.237874797,74.23262458,2.452975554,0.781133759,12.25933625,0.329033515,49.84240692,3.985032836,52.01562665,11381.10201,0.1536614,3.343616013,24.1189615,14.99021203,62061.00286,5.137818443,5.734193262,1,-118.2471077,33.77779965,11.14285714
16A81,40330.5016,48.55574932,23.06345921,65.27416275,0.225088081,72.03304811,4.150245071,1.55210247,10.75055749,0.453482545,43.72388315,3.738409421,50.53105819,13548.24357,0.168917489,2.957745615,19.41967087,15.34694126,65161.58908,5.828076807,5.831188618,1,-118.2723957,33.76645715,21.46666667
17A23,37590.66764,49.39727236,21.07203904,61.10495847,0.299519001,64.19935868,4.329640336,0.872670796,26.47556521,0.445048323,20.26661932,1.313582802,47.67928932,13278.40657,0.115889968,2.714284261,7.996147175,7.89826201,87902.3827,4.457134533,3.892692353,1,-118.2624182,33.7321871,23.47619048
17A35,43698.29881,49.85532611,25.63909098,59.27051194,0.26865626,67.4640975,4.539580407,1.935149206,18.25674052,0.519889285,36.03845667,2.059583185,50.54785491,13799.48918,0.124594242,3.03491027,14.81927218,11.2187625,76375.04014,5.551954374,5.165806157,1,-118.3021692,33.72095133,25.29411765
17A49,53293.42628,50.01800059,24.23843552,61.50988382,0.26076466,60.62955045,5.719767458,1.097588057,17.83618688,0.565006698,38.44888019,2.734944109,54.06661817,16356.86303,0.127439163,3.186153766,14.17007527,12.14218715,73765.5988,5.513166982,5.133177223,1,-118.4714157,34.31043465,19.26315789
17A67,28001.06543,49.64536748,26.05088318,61.39022732,0.238246304,56.52461222,9.468888867,1.198421143,19.11873961,0.354682131,34.42508706,3.084297102,51.36688581,9356.363997,0.151114516,2.6063351,10.84079163,14.65508215,55579.33015,5.659854354,5.423609135,1,-118.4447416,34.23397147,15
17A81,40150.82096,50.87325207,22.96684726,64.11091162,0.245461141,55.80383394,6.115198888,1.094321595,19.54605087,0.273652938,39.98165369,3.512773881,53.50920473,12971.43066,0.151527692,3.067123558,16.22427542,13.8549962,67696.54293,6.755456122,4.602075905,1,-118.4525118,34.22779321,13.77419355
17A95,54946.94301,49.94053166,27.02699669,61.97620109,0.207031223,53.20600821,6.306706882,0.89346161,15.50130488,0.504250747,52.01093885,6.013554423,57.1097235,15729.76748,0.144035945,3.411189351,21.63863874,21.16740845,58882.09691,6.844812841,5.693173358,1,-118.4984635,34.18787491,17.41176471
18A1,80587.36236,47.67196651,34.55062737,58.09734947,0.149029011,25.87175964,30.32090332,1.100010438,0.652040891,0.152036146,68.95969172,9.546320693,67.15180431,21994.71586,0.151003244,3.929893723,44.36352773,35.5125452,31050.94285,8.339905618,7.615482299,1,-118.5390751,34.19070134,12.06666667
18A17,79511.58743,47.77660226,34.83604713,58.00876616,0.14882893,25.96308053,29.62198957,1.100682289,0.647044905,0.146734774,69.7731852,9.827257085,67.32228005,21438.14109,0.151111283,3.985696869,45.1512102,35.50186974,31155.67606,8.371970524,7.711835528,1,-118.5403244,34.21090184,14.97826087
18A26,81787.56229,48.96902047,32.5578591,59.69688641,0.182323984,56.0506189,6.591751063,1.023195067,0.865219986,0.237607029,90.67421181,9.063569312,55.70591055,19299.22084,0.158922328,4.254578585,46.87387785,23.32555494,43630.32451,9.224296975,7.037012504,1,-118.4859732,34.2057342,29.64705882
18A3,62218.54882,48.31312964,36.64341695,57.20655338,0.145742427,31.94579875,22.46073299,1.061638074,0.62884596,0.138361187,76.79293473,10.42329163,65.14664538,14762.15377,0.148935311,4.338801391,50.46546179,35.245286,32222.16811,8.063540365,8.1391869,1,-118.5446345,34.15436033,26.05882353
18A34,48053.26245,48.19241961,36.78472337,56.91316859,0.141218815,37.75257216,27.31648602,0.81472036,0.918939302,0.351638731,71.57345329,8.084617086,61.17041879,11425.64956,0.147055762,4.232824781,45.70460036,35.6797055,33737.42492,7.318558216,8.391756011,1,-118.4990988,34.14959291,20.64516129
18A35,47899.9792,48.81561663,38.14003052,56.10298664,0.136978543,39.17565025,29.27331923,0.659912208,1.108082955,0.472058447,69.70162615,7.391816855,59.66691263,11065.56199,0.146582255,4.346183176,44.55859463,36.38377917,34247.88294,7.603958379,9.128228461,1,-118.2854236,34.12880931,27.44827586
18A41,61653.24962,46.74752291,33.08927543,58.55476965,0.150216384,28.79068246,34.68330147,0.977364291,0.767876371,0.267853713,64.46510889,9.079304263,65.60157482,17483.11153,0.152368609,3.705680964,40.54953499,34.69556835,32885.48397,6.984135284,7.200966147,1,-118.1899466,34.12267544,12.375
18A49,51908.17007,48.82751065,37.4662355,56.63146273,0.146441021,42.0976294,25.91604468,0.747708545,1.09861494,0.448013555,72.80177582,7.951070151,59.28146646,11781.96956,0.151303739,4.377897484,44.88157045,34.26279981,36010.4075,8.08679852,8.646308138,1,-118.2018985,34.10856536,22.15
18A63,36009.66286,47.44055001,35.68773955,56.99948898,0.140077504,36.25432203,34.57270701,0.659949452,1.086733848,0.493366929,64.68059859,8.799494281,61.72576815,8700.59284,0.152265111,4.049781473,41.30713323,34.93391837,35611.75562,6.367086594,8.413769861,1,-118.2903197,34.09657686,13.23809524
18A97,52785.41793,47.51823267,26.42870094,60.70527409,0.205879297,27.33059036,23.76140619,0.912893265,21.04326118,0.439444314,50.43629226,6.372307813,57.35061288,16963.89493,0.149996244,3.109393326,25.70985745,22.78758986,42221.68752,6.803402762,5.996511488,1,-118.2668237,34.09752518,12.20689655
19A1,93804.39426,49.22494721,29.09864099,60.42054501,0.214658535,74.11759149,4.665995478,1.893509149,6.23206563,0.207604105,76.67284288,3.266707126,55.42199612,24091.43008,0.138118274,3.841813094,30.82490325,16.00804009,63771.99484,6.469142911,5.010141007,1,-118.2440861,34.08540971,23.7027027
19A43,27059.19255,50.24388503,25.86016116,62.33542016,0.22211442,60.77279146,2.687754817,1.532563612,6.645242734,0.226085681,79.2875317,4.291529046,53.47827412,6734.913847,0.16241601,3.81165824,32.5510209,13.9574983,61132.00424,5.363779841,5.998978589,1,-118.2899952,33.99497789,20.5
19A61,64033.10448,49.43926271,29.35558594,61.18715339,0.201652392,50.17748129,4.917651105,0.806062283,14.37526381,0.585240927,61.17838024,6.538825426,57.63319155,17369.18284,0.142870598,3.682306323,27.02449145,22.86639975,57930.35632,6.661338964,6.260704944,1,-118.3059706,33.99754841,16.13953488
19A7,87616.8525,49.35972858,29.22654016,60.53817638,0.214166879,72.91041761,4.48316163,1.874990392,5.646585131,0.238648293,78.45713697,3.651218948,55.10917755,22386.95686,0.139805537,3.893000828,31.86863137,16.22453389,62834.56899,6.348120706,5.066148721,1,-118.3344886,33.98851656,16.05405405
