basiccar,pop.total,pop.male,pop.u20,pop.20.64,pop.married,pop.white,pop.black,pop.native,pop.asian,pop.pacific,pop.latino,occupants.1.5,rent.35.income,occ.units,pop.single.hh,hh.size,no.school,poverty,med.income,pop.no.insur,pop.unempl,city,x,y,R_MeanDiff,NR_CrimeCount,R_CrimeCount,R_MedianDiff,R_SDDiff,R_1DAY,R_1WEEK,R_1MONTH,R_MONTHS,crime.cap
33,86053,49.92272204,18.60829954,67.01102809,23.86901096,31.91870127,16.30855403,1.471186362,3.42811988,0.076696919,72.7284348,5.406399412,46.34865705,27190,2.364582567,0.099368994,2.941210649,27.2030028,41875,29.9,13.04724293,2,-73.99363596,40.60722178,443.0777778,24280,90,10,1251.306214,0.355555556,0.122222222,0.144444444,0.377777778,0.283197564
34,123226,48.70644182,20.47538669,63.88749128,28.34304449,40.89072111,9.755246458,0.560758282,2.544917469,0.102251148,68.26643728,4.912949607,43.64754626,43538,2.264504571,0.117702433,2.444289355,22.64944086,50373,26.5,11.1923974,2,-73.91000935,40.60766602,491.4606742,32531,89,5,1158.0572,0.426966292,0.101123596,0.08988764,0.382022472,0.264716862
40,98664,47.04046055,34.66208546,55.27953458,18.01974378,11.84525257,32.53162248,0.773331712,0.674004703,0.155071759,67.98528339,3.906107843,44.80906339,32974,2.46627646,0.09899254,2.718316711,43.57009649,23625,38.8,12.90745839,2,-73.98326777,40.63122775,232.2631579,71713,171,1,800.1928413,0.526315789,0.111111111,0.070175439,0.292397661,0.728573745
41,55982,48.76746097,32.0603051,57.01118217,17.70033225,11.64660069,28.4716516,0.476939016,1.230752742,0.100032153,73.60758815,3.951076542,48.78211343,17742,2.495434562,0.090743453,4.371047837,38.61598371,25250,38.1,10.60662797,2,-73.93381412,40.64805306,284.3723404,43365,94,3.5,709.4199506,0.404255319,0.180851064,0.117021277,0.29787234,0.776303097
42,85180,46.07536981,33.33176802,56.4921343,19.94364874,9.828598263,40.48602958,0.41441653,0.561164593,0,60.35806527,5.984931555,45.00094787,28271,2.474090057,0.098661658,3.395163184,41.37356187,24296,35.5,14.27683198,2,-74.0234584,40.62325767,139.4674556,46106,169,2,440.6091162,0.485207101,0.153846154,0.082840237,0.278106509,0.543261329
43,179719,46.70068273,27.3916503,58.89861395,24.77812585,22.71657421,34.78207646,0.642669946,6.575264719,0,58.54528458,4.477051642,46.51216011,61268,2.438434419,0.097596804,2.58347754,29.35081989,38166,28.4,13.11268378,2,-73.89204449,40.63460454,168.63,72299,200,1.5,498.8222139,0.5,0.15,0.045,0.305,0.403401978
44,147162,46.08934372,31.14255039,57.97488482,22.11236596,10.23429962,34.74266455,0.607493782,1.87752273,0.016308558,64.24212772,8.421677215,52.35776852,50560,2.41275712,0.107616097,2.702463951,36.77036191,27663,34.3,12.82652274,2,-73.95911931,40.63184938,248.4195402,71870,174,2,762.8476025,0.494252874,0.137931034,0.068965517,0.298850575,0.489555728
45,125705,46.54150591,21.35953224,57.44560678,32.34000239,41.52420349,25.93691579,0.202855893,5.099240285,0.008750646,40.61095422,1.858445327,38.14744258,48589,2.222375435,0.136915795,1.727059385,12.62559166,58355,16.5,9.355347164,2,-73.94692561,40.66280012,291.4642857,36432,56,2,958.1498073,0.464285714,0.178571429,0.089285714,0.267857143,0.290266895
46,128570,46.08695652,31.76946411,59.00832231,21.50346115,11.1052345,30.40989344,0.6930077,1.36657074,0.086334293,69.52943922,7.694133846,56.63773233,42123,2.50060537,0.091529906,2.614140157,41.42179358,25109,34.4,13.27558316,2,-74.00113444,40.65197148,234.3258427,56388,178,2,677.6640131,0.471910112,0.151685393,0.04494382,0.331460674,0.439962666
47,162243,45.56991673,26.27786715,58.56955308,26.12747545,12.34814445,67.46177031,0.786474609,2.633703765,0.102932022,23.96713572,3.334956183,47.71847507,53404,2.49700397,0.088213359,1.320241859,19.52071892,48641,19.8,13.24897013,2,-73.91094406,40.66816181,155.7563452,56067,197,1,854.7150686,0.507614213,0.162436548,0.065989848,0.263959391,0.346788459
48,88198,46.93303703,34.08127168,56.10104538,18.82355609,16.68972086,27.99043062,0.2346992,0.972811175,0.034014377,65.36769541,4.390649927,53.31191392,28834,2.42734272,0.099786843,1.920678473,42.47375224,23770,36.6,18.08437543,2,-73.87739083,40.66442617,241.8992806,48313,139,4,737.9427759,0.446043165,0.107913669,0.107913669,0.338129496,0.549354861
49,120951,48.34602442,24.81087382,59.13717125,31.42346901,33.62684062,23.93117874,0.666385561,7.154136799,0.042992617,46.73545485,3.984616508,44.51426805,41083,2.432733734,0.095145968,2.302585344,19.65424015,49002,21.1,11.9637821,2,-74.00321647,40.67924398,245.0104167,39476,96,2,774.5401419,0.489583333,0.15625,0.072916667,0.28125,0.327173814
5,51123,51.17266201,13.82547973,66.87987794,34.25659684,29.87891947,6.724957456,0.160397473,56.03935606,0.015648534,12.74964302,4.925177975,41.54291535,20649,2.03796794,0.162001447,5.682373883,22.26786378,55168,25.9,7.442409923,2,-73.94490511,40.6740235,52.39473684,26333,38,0.5,152.3036688,0.631578947,0.131578947,0.052631579,0.184210526,0.51583436
50,95723,47.52253899,23.36324603,56.31352966,31.75934728,47.59775603,14.45420641,0.538010718,5.475173156,0.064770222,44.34670873,3.277842653,40.79165974,36823,2.194335062,0.13430419,1.784315159,15.1750363,66591,17.3,8.915054668,2,-73.9769143,40.66935158,295.3333333,26156,51,3,752.5250206,0.411764706,0.156862745,0.137254902,0.294117647,0.273779551
52,141153,47.93592768,28.68872783,60.07594596,24.25878302,17.34571706,19.15155895,0.692865189,6.178402159,0.028338045,69.80085439,6.977455257,52.37263337,49058,2.393391496,0.107273668,2.543339497,31.48215057,33690,30.9,13.85893305,2,-73.94918461,40.68924222,318.760274,61850,146,3.5,983.6339893,0.404109589,0.164383562,0.102739726,0.328767123,0.439211352
